metadata: N/A
[1489235880.25, 69.7]
[1489235880.36, 67.45]
[1489235880.46, 70.9]
[1489235880.57, 69.63]
[1489235880.67, 69.65]
[1489235880.78, 67.25]
[1489235880.88, 66.87]
[1489235880.99, 67.26]
[1489235881.09, 67.69]
[1489235881.2, 66.47]
[1489235881.3, 66.47]
[1489235881.41, 66.85]
[1489235881.51, 66.85]
[1489235881.61, 66.89]
[1489235881.72, 67.69]
[1489235881.82, 69.35]
[1489235881.93, 68.93]
[1489235882.03, 67.73]
[1489235882.14, 66.49]
[1489235882.24, 67.28]
[1489235882.35, 70.55]
[1489235882.45, 69.75]
[1489235882.56, 69.73]
[1489235882.66, 69.34]
[1489235882.77, 69.73]
[1489235882.87, 70.99]
[1489235882.98, 70.57]
[1489235883.08, 70.11]
[1489235883.19, 70.18]
[1489235883.29, 70.18]
[1489235883.4, 71.41]
[1489235883.5, 71.38]
[1489235883.61, 71.67]
[1489235883.71, 69.75]
[1489235883.82, 70.13]
[1489235883.92, 69.7]
[1489235884.03, 71.74]
[1489235884.13, 68.15]
[1489235884.24, 67.86]
[1489235884.34, 67.29]
[1489235884.45, 66.87]
[1489235884.55, 66.9]
[1489235884.66, 67.35]
[1489235884.76, 69.75]
[1489235884.87, 67.74]
[1489235884.97, 66.51]
[1489235885.08, 66.44]
[1489235885.18, 67.23]
[1489235885.29, 66.9]
[1489235885.39, 69.68]
[1489235885.5, 67.28]
[1489235885.6, 66.87]
[1489235885.7, 66.49]
[1489235885.81, 66.87]
[1489235885.91, 66.42]
[1489235886.02, 66.42]
[1489235886.12, 66.87]
[1489235886.23, 66.44]
[1489235886.33, 66.46]
[1489235886.44, 67.24]
[1489235886.54, 68.12]
[1489235886.65, 66.46]
[1489235886.75, 66.89]
[1489235886.86, 66.89]
[1489235886.96, 67.26]
[1489235887.07, 67.74]
[1489235887.17, 66.89]
[1489235887.28, 70.57]
[1489235887.38, 69.34]
[1489235887.49, 70.59]
